LI,227
PY,0
PY,0
LI,226
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,5
PY,0
LI,226
PY,0
PY,0
LI,226
PY,0
PY,0
LI,227
PY,0
PY,20
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,226
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,226
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
PY,0
PY,0
PY,0
PY,0
LI,228
PY,0
LI,228
PY,5
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,5
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,229
PY,0
PY,5
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,229
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,227
PY,0
PY,5
LI,228
PY,0
PY,0
LI,228
PY,10
PY,0
LI,227
PY,10
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,227
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,228
PY,0
PY,0
LI,229
PY,30
PY,0
LI,228
PY,0
PY,0
LI,228
